InDate,ExDate,Position,Duration,InSignal,Entry,ExSignal,Exit,DollarBase,Value,TradeRtn,PNL
2000-03-17,2000-04-25,103,26,MA+,97.05,MA-,96.2597,10000.0,-81.4086,-0.0081,-81.4086
2000-06-08,2000-08-01,101,37,MA+,98.1732,MA-,95.8192,9918.5914,-237.7586,-0.024,-319.1672
2000-08-16,2000-09-21,97,25,MA+,99.6136,MA-,96.6242,9680.8328,-289.969,-0.03,-609.1362
2000-11-09,2000-11-17,100,6,MA+,93.6354,MA-,91.838,9390.8638,-179.7449,-0.0191,-788.8811
2001-01-24,2001-02-21,100,19,MA+,91.4068,MA-,85.805,9211.1189,-560.1794,-0.0608,-1349.0605
2001-04-23,2001-06-15,104,38,MA+,83.1772,MA-,81.5653,8650.9395,-167.6295,-0.0194,-1516.69
2001-10-23,2002-01-23,113,62,MA+,74.4569,MA-,76.5271,8483.31,233.9375,0.0276,-1282.7525
2002-03-07,2002-04-11,109,24,MA+,79.7409,MA-,76.9235,8717.2475,-307.104,-0.0352,-1589.8565
2002-08-21,2002-09-17,129,18,MA+,65.0008,MA-,62.1494,8410.1435,-367.8331,-0.0437,-1957.6896
2002-10-24,2002-12-18,129,38,MA+,62.3319,MA-,62.0365,8042.3104,-38.1046,-0.0047,-1995.7941
2003-01-14,2003-01-27,125,8,MA+,63.9772,MA-,59.1732,8004.2059,-600.498,-0.075,-2596.2921
2003-03-24,2003-07-30,121,89,MA+,60.9988,MA-,69.2732,7403.7079,1001.2002,0.1352,-1595.0919
2003-08-21,2004-03-15,119,141,MA+,70.2817,MA-,78.7555,8404.9081,1008.3813,0.12,-586.7106
2004-04-12,2004-05-10,116,20,MA+,80.6577,MA-,77.0394,9413.2894,-419.7181,-0.0446,-1006.4286
2004-06-07,2004-07-15,112,26,MA+,79.8481,MA-,78.9456,8993.5714,-101.0848,-0.0112,-1107.5135
2004-08-30,2004-10-21,113,37,MA+,78.5782,MA-,78.6002,8892.4865,2.4864,0.0003,-1105.0271
2004-11-04,2005-01-14,109,49,MA+,81.431,MA-,84.3387,8894.9729,316.9386,0.0356,-788.0885
2005-02-11,2005-03-23,107,27,MA+,85.5755,MA-,83.9379,9211.9115,-175.2249,-0.019,-963.3134
2005-05-16,2005-08-26,108,72,MA+,83.0407,MA-,87.5411,9036.6866,486.0425,0.0538,-477.2708
2005-09-13,2005-09-27,106,10,MA+,89.4507,MA-,87.9426,9522.7292,-159.8546,-0.0168,-637.1254
2005-11-08,2006-02-13,106,65,MA+,88.2393,MA-,92.1046,9362.8746,409.7235,0.0438,-227.4019
2006-02-22,2006-05-19,104,61,MA+,93.6834,MA-,92.6681,9772.5981,-105.5895,-0.0108,-332.9914
2006-07-10,2006-07-20,103,8,MA+,93.1291,MA-,92.5275,9667.0086,-61.9663,-0.0064,-394.9577
2006-07-31,2007-03-06,102,149,MA+,93.6573,MA-,102.833,9605.0423,935.9247,0.0974,540.967
2007-04-02,2007-07-02,99,63,MA+,105.7554,MA-,112.7186,10540.967,689.3591,0.0654,1230.3261
2007-07-12,2007-07-31,98,13,MA+,113.8392,MA-,110.8209,11230.3261,-295.797,-0.0263,934.5292
2007-09-13,2007-11-02,98,36,MA+,110.9853,MA-,113.7487,10934.5292,270.8166,0.0248,1205.3458
2007-11-05,2007-11-06,99,1,MA+,112.33,MA-,113.2459,11205.3458,90.6699,0.0081,1296.0157
2007-12-13,2007-12-24,101,7,MA+,111.3392,MA-,112.3074,11296.0157,97.7909,0.0087,1393.8067
2007-12-27,2008-01-09,101,8,MA+,112.4583,MA-,104.9646,11393.8067,-756.8582,-0.0664,636.9484
2008-04-03,2008-06-09,103,46,MA+,103.1105,MA-,103.793,10636.9484,70.2983,0.0066,707.2467
2008-08-12,2008-09-10,107,20,MA+,99.297,MA-,94.4267,10707.2467,-521.1254,-0.0487,186.1214
2008-12-18,2008-12-24,145,4,MA+,70.0666,MA-,66.81,10186.1214,-472.2118,-0.0464,-286.0904
2008-12-29,2009-01-22,144,16,MA+,67.4205,MA-,63.6955,9713.9096,-536.3984,-0.0552,-822.4888
2009-03-26,2009-06-29,143,65,MA+,64.0191,MA-,72.0986,9177.5112,1155.3699,0.1259,332.8811
2009-07-23,2009-11-05,138,74,MA+,74.8382,MA-,83.0987,10332.8811,1139.9482,0.1103,1472.8292
2009-11-12,2010-01-29,132,52,MA+,86.512,MA-,86.2187,11472.8292,-38.7172,-0.0034,1434.1121
2010-03-03,2010-05-10,128,47,MA+,88.9466,MA-,91.9489,11434.1121,384.284,0.0336,1818.396
2010-07-21,2010-08-25,135,25,MA+,86.9857,MA-,83.7229,11818.396,-440.473,-0.0373,1377.9231
2010-09-15,2011-03-17,126,127,MA+,89.6022,MA-,103.1974,11377.9231,1712.9835,0.1506,3090.9066
2011-04-04,2011-05-26,121,37,MA+,108.0425,MA-,106.9089,13090.9066,-137.1697,-0.0105,2953.7369
2011-07-08,2011-08-05,118,20,MA+,108.9036,MA-,99.0817,12953.7369,-1158.9829,-0.0895,1794.7539
2011-09-28,2011-09-29,122,1,MA+,96.3389,MA-,95.7418,11794.7539,-72.8472,-0.0062,1721.9067
2011-10-18,2011-11-29,119,29,MA+,98.2692,MA-,98.1956,11721.9067,-8.7593,-0.0007,1713.1475
2011-12-12,2011-12-20,114,6,MA+,102.2036,MA-,100.5717,11713.1475,-186.0399,-0.0159,1527.1076
2011-12-28,2012-04-19,110,77,MA+,104.1359,MA-,114.6125,11527.1076,1152.4251,0.1,2679.5327
2012-06-26,2012-10-25,115,85,MA+,109.4473,MA-,118.6536,12679.5327,1058.7229,0.0835,3738.2556
2012-12-07,2013-06-24,115,135,MA+,119.0797,MA-,133.7372,13738.2556,1685.6122,0.1227,5423.8678
2013-07-12,2013-08-23,108,30,MA+,142.2163,MA-,141.5027,15423.8678,-77.0772,-0.005,5346.7906
2013-09-17,2014-01-31,105,94,MA+,144.8247,MA-,151.9431,15346.7906,747.4372,0.0487,6094.2278
2014-02-21,2014-04-16,101,38,MA+,158.3295,MA-,159.9077,16094.2278,159.401,0.0099,6253.6287
2014-04-29,2014-08-06,100,69,MA+,161.6407,MA-,165.5599,16253.6287,391.9214,0.0241,6645.5501
2014-08-25,2014-10-03,96,28,MA+,173.3826,MA-,170.3113,16645.5501,-294.8476,-0.0177,6350.7025
2014-11-03,2014-12-22,93,34,MA+,175.7424,MA-,180.9394,16350.7025,483.3211,0.0296,6834.0236
2014-12-29,2015-01-13,92,10,MA+,182.2258,MA-,178.6377,16834.0236,-330.112,-0.0196,6503.9117
2015-02-12,2015-04-02,90,34,MA+,181.937,MA-,180.7537,16503.9117,-106.5024,-0.0065,6397.4093
2015-04-16,2015-06-11,88,39,MA+,184.6303,MA-,185.905,16397.4093,112.1729,0.0068,6509.5822
2015-06-24,2015-07-01,88,5,MA+,187.0213,MA-,183.4968,16509.5822,-310.1603,-0.0188,6199.4219
2015-07-22,2015-08-07,86,12,MA+,186.3234,MA-,183.8766,16199.4219,-210.4273,-0.013,5988.9946
2015-08-10,2015-08-14,86,4,MA+,184.8659,MA-,184.1151,15988.9946,-64.5729,-0.004,5924.4218
2015-08-19,2015-08-20,86,1,MA+,184.6981,MA-,182.4191,15924.4218,-195.9978,-0.0123,5728.424
2015-10-13,2015-12-14,88,43,MA+,178.1641,MA-,179.4251,15728.424,110.9651,0.0071,5839.3891
2016-02-29,2016-05-13,90,53,MA+,174.276,MA-,185.1408,15839.3891,977.8272,0.0617,6817.2162
2016-06-01,2016-06-28,89,19,MA+,187.7534,MA-,181.8348,16817.2162,-526.7574,-0.0313,6290.4589
2016-07-12,2016-09-14,84,45,MA+,193.6123,MA-,192.4932,16290.4589,-94.0063,-0.0058,6196.4526
2016-11-17,2017-04-06,81,95,MA+,197.7832,MA-,215.2919,16196.4526,1418.2084,0.0876,7614.6609
2017-04-28,2017-08-23,80,81,MA+,218.9208,MA-,224.9886,17614.6609,485.4226,0.0276,8100.0836
2017-09-11,2018-02-12,79,106,MA+,228.4048,MA-,245.3985,18100.0836,1342.5016,0.0742,9442.5851
2018-03-16,2018-03-26,75,6,MA+,256.3457,MA-,244.7938,19442.5851,-866.3959,-0.0446,8576.1892
2018-05-10,2018-07-05,73,38,MA+,252.4608,MA-,255.3111,18576.1892,208.0702,0.0112,8784.2595
2018-07-12,2018-10-12,71,65,MA+,261.0425,MA-,260.8014,18784.2595,-17.1201,-0.0009,8767.1394
2019-01-22,2019-05-17,74,81,MA+,250.9981,MA-,271.448,18767.1394,1513.2913,0.0806,10280.4307
2019-06-18,2019-08-08,73,36,MA+,277.3979,MA-,277.0538,20280.4307,-25.1159,-0.0012,10255.3148
2019-09-11,2019-10-10,70,21,MA+,285.5198,MA-,279.8324,20255.3148,-398.1174,-0.0197,9857.1974
2019-10-18,2020-02-28,69,90,MA+,287.0498,MA-,278.8132,19857.1974,-568.3255,-0.0286,9288.8719
2020-04-20,2020-09-21,70,107,MA+,274.5366,MA-,319.0601,19288.8719,3116.6449,0.1616,12405.5168
2020-10-12,2020-11-03,65,16,MA+,342.4631,MA-,326.8872,22405.5168,-1012.4324,-0.0452,11393.0844
2020-11-10,2021-03-11,61,82,MA+,346.2836,MA-,385.8717,21393.0844,2414.8741,0.1129,13807.9586
2021-03-12,2021-09-22,61,134,MA+,385.7143,MA-,433.1777,23807.9586,2895.267,0.1216,16703.2256
2021-10-22,2021-12-10,59,34,MA+,450.1452,MA-,466.1392,26703.2256,943.6444,0.0353,17646.8699
2021-12-15,2022-01-20,60,24,MA+,460.3674,MA-,452.3447,27646.8699,-481.3605,-0.0174,17165.5095
2022-03-28,2022-04-26,60,20,MA+,452.06,MA-,425.83,27165.5095,-1573.8006,-0.0579,15591.7089
2022-07-27,2022-09-06,64,28,MA+,394.36,MA-,393.13,25591.7089,-78.7194,-0.0031,15512.9895
2022-11-01,2022-12-22,65,36,MA+,390.14,MA-,383.05,25512.9895,-460.8513,-0.0181,15052.1382
2023-01-23,2023-03-03,63,28,MA+,396.72,MA-,399.71,25052.1382,188.3694,0.0075,15240.5076
2023-04-05,2023-08-18,61,93,MA+,407.91,MA-,433.37,25240.5076,1553.06,0.0615,16793.5676
2023-09-13,2023-09-18,60,3,MA+,446.22,MA-,443.05,26793.5676,-190.2006,-0.0071,16603.367
2023-11-13,2024-04-18,60,107,MA+,439.23,MA-,500.3658,26603.367,3668.1462,0.1379,20271.5131
2024-05-14,2024-08-02,58,55,MA+,519.4342,MA-,535.75,30271.5131,946.3145,0.0313,21217.8277
